id,topic,language,created_at,source,status,input_text,contains_code,tags,safety_flag,quality_score
1,technology,en,2025-11-06T09:29:41,user,draft,Q1 (en/technology): format embedding table predict format embedding dataset policy predict outline evaluate classify Include figure 606 and version 1.8..,0,factual,1,51.75
2,sports,en,2025-06-18T09:09:41,user,draft,Q2 (en/sports): evaluate classify embedding trend table summarize summarize predict visualize query compare analyze query design.,0,"factual,howto",0,31.5
3,finance,en,2025-07-21T09:12:41,synthetic,curated,Q3 (en/finance): compare regulation benefit format compose trend cost index explain visualize normalize Include figure 609 and version 4.0..,0,"factual,howto,summary",1,42.03
4,sports,en,2025-09-02T09:09:41,import,draft,Q4 (en/sports): impact risk pipeline regulation summarize query classify prompt predict policy policy design.,0,"short,tabular",1,45.14
5,history,es,2025-08-23T10:09:41,import,curated,Q5 (es/history): benefit design explain response evaluate predict explain regulation dataset embedding strategy index.,0,"factual,howto",1,33.77
6,sports,fr,2025-11-06T09:15:41,user,curated,Q6 (fr/sports): classify regulation response trend prompt evaluate field compare impact impact benefit prompt risk.,0,short,1,45.66
7,food,de,2025-10-18T11:34:41,import,draft,Q7 (de/food): strategy regulation embedding token trend dataset analyze explain.,0,math,1,13.82
8,sports,en,2025-10-23T09:15:41,import,draft,Q8 (en/sports): analyze token policy dataset benefit strategy policy regulation risk predict.,0,"explanatory,narrative",1,22.28
9,economics,fr,2025-06-28T14:22:41,import,draft,Q9 (fr/economics): compose impact query trend prompt dataset analyze predict classify compose risk Include figure 438 and version 2.5..,0,"creative,tabular",1,49.49
10,education,it,2025-09-18T10:15:41,user,rejected,Q10 (it/education): trend token field summarize outline index dataset analyze compare prompt regulation Example: for(i=0;i<n;i++){ compute(); }.,1,tabular,1,74.34
11,geography,fr,2025-08-17T12:29:41,user,draft,Q11 (fr/geography): prompt index normalize field impact normalize format design normalize compose outline table.,0,"creative,long",0,25.7
12,healthcare,en,2025-08-14T09:55:41,synthetic,draft,Q12 (en/healthcare): embedding risk compose predict cost trend response table Include figure 728 and version 3.9..,0,"math,narrative,short",1,35.41
13,literature,it,2025-08-22T10:56:41,user,draft,Q13 (it/literature): explain prompt pipeline prompt classify predict token prompt cost outline impact outline impact Include figure 482 and version 3.2..,0,"code,howto,narrative",0,56.34
14,history,en,2025-06-02T09:20:41,user,draft,Q14 (en/history): policy outline analyze predict token field response index explain.,0,code,1,27.08
15,travel,de,2025-09-03T09:43:41,synthetic,draft,Q15 (de/travel): dataset analyze benefit policy token explain design risk.,0,"creative,reasoning",1,19.46
16,entertainment,en,2025-08-02T09:49:41,synthetic,curated,Q16 (en/entertainment): design embedding embedding classify visualize normalize response compose format embedding.,0,"reasoning,summary",0,25.97
17,technology,de,2025-07-22T09:38:41,synthetic,draft,Q17 (de/technology): explain outline field dataset predict cost classify analyze Example: for(i=0;i<n;i++){ compute(); } Include figure 248 and version 1.7..,1,narrative,0,68.03
18,environment,en,2025-08-02T10:21:41,user,draft,Q18 (en/environment): risk trend summarize impact evaluate token field risk design table risk visualize prompt field.,0,"creative,howto",1,39.5
19,history,fr,2025-10-07T09:18:41,synthetic,curated,Q19 (fr/history): field impact classify benefit embedding summarize query table embedding risk response classify query predict.,0,"creative,factual,math",1,26.95
20,literature,en,2025-09-14T14:02:41,user,curated,Q20 (en/literature): classify cost design analyze design explain dataset token summarize compare evaluate outline query query.,0,explanatory,0,35.15
21,science,de,2025-10-16T09:52:41,user,draft,Q21 (de/science): table table risk risk regulation format pipeline token compare analyze compare field.,0,"factual,howto,math",1,31.66
22,sports,en,2025-09-08T09:41:41,synthetic,draft,Q22 (en/sports): format field regulation field design regulation explain normalize normalize prompt compose index strategy index.,0,code,1,33.59
23,healthcare,en,2025-08-23T10:43:41,import,draft,Q23 (en/healthcare): design prompt prompt compare analyze outline evaluate query.,0,"math,narrative,short",0,27.01
24,healthcare,en,2025-10-11T10:28:41,import,draft,Q24 (en/healthcare): index compare compose response index normalize token index table embedding Include figure 382 and version 4.1..,0,"code,reasoning",0,48.08
25,healthcare,it,2025-06-16T09:32:41,synthetic,draft,Q25 (it/healthcare): design trend benefit design table impact table prompt strategy dataset predict prompt table Include figure 114 and version 3.4..,0,narrative,0,48.29
26,food,en,2025-09-24T09:20:41,user,draft,Q26 (en/food): token field analyze impact summarize prompt pipeline policy cost pipeline classify impact embedding.,0,factual,1,37.19
